,Unnamed: 0,id,referringVisitId,transition,visitId,visitTime,title,lastVisitTime,typedCount,url,visitCount,visitTimeDate,lastVisitTimeDate,thumbnail,description,2d_x,2d_y,3d_x,3d_y,3d_z
28,4886,61120,0,link,318154,1665239172065.299,Trudy Painter (@trudypainter) / Twitter,1665239172065.299,0,https://twitter.com/trudypainter,49,2022-10-08 14:26:12.065299200,2022-10-08 14:26:12.065299200,,Trudy Painter (@trudypainter) / Twitter,19.20524,23.062593,11.787696,9.664106,-14.037206
29,4043,577,319055,form_submit,319056,1665415914022.016,Northwest Federal Credit Union,1665415914022.016,1,https://secure.nwfcu.org/DashboardV2,49,2022-10-10 15:31:54.022016000,2022-10-10 15:31:54.022016000,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Northwest Federal Credit Union,-28.743158,5.4650254,-19.938665,11.943588,0.59395987
30,973,70478,0,link,322336,1665692867746.738,(20+) Facebook Marketplace | Facebook,1665692893264.401,22,https://www.facebook.com/marketplace/,47,2022-10-13 20:27:47.746737920,2022-10-13 20:28:13.264400896,,(20+) Facebook Marketplace | Facebook,-46.709423,4.140529,-32.70852,4.2319026,-0.14959447
31,2477,262,320713,typed,320714,1665578590115.039,Touchstone@MIT : Please Authenticate,1665658547615.484,0,https://idp.mit.edu/idp/Authn/MIT?conversation=e1s1,41,2022-10-12 12:43:10.115038976,2022-10-13 10:55:47.615483904,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Touchstone@MIT : Please Authenticate,-8.106029,6.877605,-0.54489595,9.957356,-20.209343
32,1950,384,321271,form_submit,321272,1665595906846.7058,Touchstone@MIT - Duo Authentication,1665658549648.151,0,https://idp.mit.edu/idp/Authn/UsernamePassword,41,2022-10-12 17:31:46.846705920,2022-10-13 10:55:49.648150784,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Touchstone@MIT - Duo Authentication,-8.139772,6.917117,-1.3461206,9.158689,-21.078108
33,5881,87607,317105,link,317108,1665169771007.6448,in-tune overview - PlanetScale,1665172105165.637,1,https://app.planetscale.com/in-tune,41,2022-10-07 19:09:31.007644672,2022-10-07 19:48:25.165636864,,in-tune overview - PlanetScale,38.19959,-16.387606,17.300362,-6.757565,25.946022
34,5370,104611,0,link,317643,1665230999422.6638,61040-fa22/portfolio-trudypainter: portfolio-trudypainter created by GitHub Classroom,1665230999422.6638,9,https://github.com/61040-fa22/portfolio-trudypainter,40,2022-10-08 12:09:59.422663936,2022-10-08 12:09:59.422663936,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,61040-fa22/portfolio-trudypainter: portfolio-trudypainter created by GitHub Classroom,-7.925557,16.513477,4.51671,5.3242173,-22.44817
35,5847,78786,317144,link,317146,1665170550211.3271,My Dashboard | Spotify for Developers,1665170741111.682,11,https://developer.spotify.com/dashboard/applications,39,2022-10-07 19:22:30.211327232,2022-10-07 19:25:41.111681792,https://developer.spotify.com/assets/FBImage.png,My Dashboard | Spotify for Developers,-0.9915352,-6.608258,-7.5087776,1.2028793,1.4949453
36,5403,104400,0,auto_bookmark,317610,1665230059805.0798,6.1040 Fall 2022 | This is the course website for the Fall 2022 offering of MIT’s 6.1040.,1665678748468.988,1,https://61040-fa22.github.io/,38,2022-10-08 11:54:19.805079808,2022-10-13 16:32:28.468988160,,6.1040 Fall 2022 | This is the course website for the Fall 2022 offering of MIT’s 6.1040.,-7.4436364,14.385518,1.940996,2.1633244,-22.788523
37,4182,85026,0,link,318905,1665413382512.343,👒 things i like🧚‍♀️🧦 — Are.na,1665413382512.343,7,https://www.are.na/trudy-painter/things-i-like-eruhck1o7r0,37,2022-10-10 14:49:42.512343040,2022-10-10 14:49:42.512343040,https://images.are.na/eyJidWNrZXQiOiJhcmVuYV9pbWFnZXMiLCJrZXkiOiIxODQwMzcyNy9vcmlnaW5hbF9jNzA4ZTc0ZWFkYjBjNGM5ZWRhMWVmYTY0YTg2ZjMzYS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEyMDAsImhlaWdodCI6MTIwMCwiZml0IjoiaW5zaWRlIiwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfSwid2VicCI6eyJxdWFsaXR5Ijo5MH0sImpwZWciOnsicXVhbGl0eSI6OTB9LCJyb3RhdGUiOm51bGx9fQ==?bc=0,👒 things i like🧚‍♀️🧦 — Are.na,44.295547,10.76311,29.614555,0.13750613,-0.8299962
